Barcode	Product Name	Price
+B+A+GV	BAG	0.00
0000	OMO 9KG	0.00
00000	OMO 9KG	0.00
0000000655122	Bag	0.00
000011226	AFG JALGHOZA 350GR	0.00
00110013	RAW ALMOND KG	0.00
00201050	Sohan 470gr	0.00
00652971	CHANA DAL 1KG	0.00
016223038376006 Werosv	GROCERY	0.00
016241094482000 REX Milky Toffi 1kg	GROCERY	0.00
016722001476004 Sonhan Suya	GROCERY	0.00
016722007265000 SOYPAK	GROCERY	0.00
019365107439	SOUR FRUITY	0.00
032894030481	CHICK PEAS	0.00
038900001438	Pineapple Slices	0.00
044738018371	Coconut Milk	0.00
046572802086	GUM	0.00
051532332886	Nutri Slim Tea	0.00
054881001632	Deylo Tea	0.00
054881004787	Ahmad Green Tea	0.00
054881005920	CARDAMOM TEA	0.00
054881005951	AHMAD GREY TEA	0.00
054881008570	AHMAD GREEN TEA 500GR	0.00
054881009737	Ahmad Tea	0.00
070847813903	Monster 500ml	0.00
073390000110	MENTOS	0.00
073390000127	MENTOS	0.00
073390000165	MENTOS	0.00
073854008089	Playing Cards	0.00
0744109794001	Wild Rue Seed	0.00
0744109795985	Dried Figs Aas 400g	0.00
0783150	Dr Prpper 335ml	0.00
0789530	Dr Pepper	0.00
089686010947	Mygoreng	0.00
089686180657	NOODLES CUP	0.00
092300800978	Cardamom 100gr	0.00
092322539412	Rolled Apricot 500g	0.00
10089686010944	Mi Goreng	0.00
10102	Lang Green Raisins 500gr	0.00
1012	Salted Pistachio 500gr	0.00
1019B	Long Green Ratsins 500gr	0.00
1023	Kudi Mulbery 500gr	0.00
1070980050080	Aqua 6 Pieces Set	0.00
11122524	WALNUT 500GR	0.00
112	Walnut 500gr	0.00
112587	Russian Olive 350 Gr	0.00
11564333Q	Sweet Apricot	0.00
115643K	Sour Apricot	0.00
116439072293000 Table Cloth 450g	GROCERY	0.00
116688U	Green Raisins 500gr	0.00
11669661	Salted Pistachio 500gr	0.00
11669777	Afghan Almond	0.00
11669937	SWEET APRCOT500GR	0.00
116921042301000 Mojlah Table Cloth 2kg	GROCERY	0.00
12123216	APRECOT KERNAL500GR	0.00
1220000060005	Mother Energy Drink	0.00
1220000060128	Mother 500 Ml	0.00
1220000060395	Mother Energ Drrink	0.00
1220000060401	Mother 500ml	0.00
1220000061200	MOTHER ENERGY	0.00
1220000061521	Mather 500ml	0.00
1220000062009	Mother Bulu	0.00
1220000062900	Mother High Coffee	0.00
1220000063013	MOTHER	0.00
12345540	Afg Dry Yogart	0.00
12365418	AFG FIG 450GR	0.00
12398	GREEN RAISINS 500GR	0.00
1358946340070	Color Flavored Vermicelli	0.00
1363013765588	Sour Apricot 500g	0.00
15162007	WALNUT 500GR	0.00
15166661	BLACK MULBERRY 400GR	0.00
1534651646991	40cm	0.00
188552000188	COCOMO 24PACK	0.00
18857129076244	Aj Basil Seed 6pack	0.00
18857129076268	Basil Seed Passionfruit 6pack	0.00
18857129076282	Aj Basil Seed Watermelon 6pack	0.00
